"Search Key","Name","Description","Account Type","Account Sign","Document Controlled","Summary Level","Default Account","Parent_Value","Element Level","Operands","Show Value Condition","Title Node"
2390,"Anticipos para inmovilizaciones materiales","Anticipos para inmovilizaciones materiales","Asset","Debit","N","Y",,239,"D",,"Algebraic","N"
23900,"Anticipos para inmovilizaciones materiales","Anticipos para inmovilizaciones materiales","Asset","Debit","N","N",,2390,"S",,"Algebraic","N"
"A.A.III","III. INVERSIONES INMOBILIARIAS","III. INVERSIONES INMOBILIARIAS","Asset","Debit","N","Y",,"A.A","E",,"Algebraic","N"
"A.A.III.1","1. TERRENOS","1. TERRENOS","Asset","Debit","N","Y",,"A.A.III","E",,"Algebraic","N"
220,"Inversiones en terrenos y bienes naturales","Inversiones en terrenos y bienes naturales","Asset","Debit","N","Y",,"A.A.III.1","C",,"Algebraic","N"
2200,"Inversiones en terrenos y bienes naturales","Inversiones en terrenos y bienes naturales","Asset","Debit","N","Y",,220,"D",,"Algebraic","N"
22000,"Inversiones en terrenos y bienes naturales","Inversiones en terrenos y bienes naturales","Asset","Debit","N","N",,2200,"S",,"Algebraic","N"
"292A","Deterioro de valor de las inversiones inmobiliarias","Deterioro de valor de las inversiones inmobiliarias","Asset","Debit","N","Y",,"A.A.III.1","C",,"Algebraic","N"
2920,"Deterioro de valor de los terrenos y bienes naturales","Deterioro de valor de los terrenos y bienes naturales","Asset","Debit","N","Y",,"292A","D",,"Algebraic","N"
29200,"Deterioro de valor de los terrenos y bienes naturales","Deterioro de valor de los terrenos y bienes naturales","Asset","Debit","N","N",,2920,"S",,"Algebraic","N"
"A.A.III.2","2. CONSTRUCCIONES","2. CONSTRUCCIONES","Asset","Debit","N","Y",,"A.A.III","E",,"Algebraic","N"
221,"Inversiones en construcciones","Inversiones en construcciones","Asset","Debit","N","Y",,"A.A.III.2","C",,"Algebraic","N"
2210,"Inversiones en construcciones","Inversiones en construcciones","Asset","Debit","N","Y",,221,"D",,"Algebraic","N"
22100,"Inversiones en construcciones","Inversiones en construcciones","Asset","Debit","N","N",,2210,"S",,"Algebraic","N"
282,"Amortización acumulada de las inversiones inmobiliarias","Amortización acumulada de las inversiones inmobiliarias","Asset","Debit","N","Y",,"A.A.III.2","C",,"Algebraic","N"
2820,"Amortización acumulada de las inversiones inmobiliarias","Amortización acumulada de las inversiones inmobiliarias","Asset","Debit","N","Y",,282,"D",,"Algebraic","N"
